"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"BSE_EQ|INE0KQ001017","543497","BCCL","BHATIA COLOUR CHEM LIMITED","0.0","",,"0.05","1600","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0FS801015","543498","MSUMI","MOTHERSON SUMI WIRING INDIA LI","63.93","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE871H01011","532951","GSS","GSS INFOTECH LTD","71.11","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0JVD01011","543500","EVOQ","EVOQ REMEDIES LIMITED","8.45","",,"0.01","4000","EQUITY",,"BSE_EQ"
"BSE_EQ|INF247L01BL0","543501","MOLOWVOL","MOTILAL OSWAL MUTUAL FUND","37.2","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE049I01012","532952","NAHARCAP","NAHAR CAPITAL  FINANCIAL SERV","307.0","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF179KC1CO2","543506","H1876D46DG","HDFC MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF179KC1CP9","543507","H1876D46DD","HDFC MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF179KC1CQ7","543508","H1876D46DQ","HDFC MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF179KC1CR5","543509","H187646RG","HDFC MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF179KC1CS3","543510","H1876D46RD","HDFC MUTUAL FUND","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE951I01027","532953","VGUARD","VGUARD INDUSTRIES LTD","437.2","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE652Z01017","543512","AVROIND","AVRO INDIA LIMITED","149.15","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0GIU01018","543513","UMAEXPORTS","UMA EXPORTS LIMITED","113.85","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0IQ001011","543514","VERANDA","VERANDA LEARNING SOLUTIONS LIM","283.7","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0KPY01017","543515","SEML","SUNRISE EFFICIENT MARKETING LI","116.1","",,"0.05","1500","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0K5F01014","543516","DHYAANITR","DHYAANI TRADEVENTTURES LIMITED","13.85","",,"0.01","2800","EQUITY",,"BSE_EQ"
"BSE_EQ|INE00EV01017","543517","HARIOMPIPE","HARIOM PIPE INDUSTRIES LIMITED","581.75","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0KSN01014","543518","EIGHTY","EIGHTY JEWELLERS LIMITED","45.15","",,"0.01","3000","EQUITY",,"BSE_EQ"
