,ISIN_code,company_name,industry,timestamp,open,high,low,close,volume,average_price,daily_return,price_change,price_range,delta_close,sma_3,rsi
55,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-18,6983.3,7041.65,6950.0,6982.9,236651.0,6989.46,-0.01,-0.4,58.75,-6.4,7014.5,55.03
56,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-21,6972.25,7032.0,6957.5,6986.4,222611.0,6987.04,0.2,14.15,45.6,3.5,6986.2,55.24
57,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-22,7019.95,7037.25,6871.55,6891.95,112233.0,6955.18,-1.82,-128.0,145.3,-94.45,6953.75,49.19
58,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-23,6885.0,6958.95,6854.75,6906.75,109466.0,6901.36,0.32,21.75,52.2,14.8,6928.37,50.05
59,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-24,6937.25,6978.0,6870.65,6954.15,147408.0,6935.01,0.24,16.9,23.85,47.4,6917.62,61.39
60,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-25,6954.15,6981.0,6876.05,6944.85,175261.0,6939.01,-0.13,-9.3,36.15,-9.3,6935.25,60.71
61,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-28,6923.0,6970.0,6794.25,6926.3,238427.0,6903.39,0.05,3.3,43.7,-18.55,6941.77,50.15
62,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-29,6957.9,6997.7,6855.8,6987.45,196146.0,6949.71,0.42,29.55,10.25,61.15,6952.87,48.34
63,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-30,6980.6,7035.0,6939.8,6982.5,191699.0,6984.48,0.03,1.9,52.5,-4.95,6965.42,52.3
64,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-10-31,6999.9,7050.0,6956.05,7022.7,224153.0,7007.16,0.33,22.8,27.3,40.2,6997.55,53.23
65,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,2024-11-01,7022.7,7046.0,7000.75,7031.95,18769.0,7025.35,0.13,9.25,14.05,9.25,7012.38,44.03
66,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-03,3192.3,3225.9,3126.5,3149.3,1741363.0,3173.5,-1.35,-43.0,76.6,,3149.3,
67,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-04,3135.0,3156.75,3054.55,3072.5,1551818.0,3104.7,-1.99,-62.5,84.25,-76.8,3110.9,0.0
68,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-07,3075.0,3098.55,3038.0,3062.25,909812.0,3068.45,-0.41,-12.75,36.3,-10.25,3094.68,0.0
69,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-08,3058.0,3099.0,3045.65,3088.05,817718.0,3072.68,0.98,30.05,10.95,25.8,3074.27,22.86
70,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-09,3095.55,3146.7,3071.75,3078.85,1225598.0,3098.21,-0.54,-16.7,67.85,-9.2,3076.38,21.14
71,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-10,3090.05,3095.0,3043.0,3059.1,1161933.0,3071.79,-1.0,-30.95,35.9,-19.75,3075.33,18.19
72,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-11,3059.2,3064.0,3026.0,3037.2,976017.0,3046.6,-0.72,-22.0,26.8,-21.9,3058.38,15.76
73,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-14,3037.0,3055.0,3017.2,3039.15,716011.0,3037.09,0.07,2.15,15.85,1.95,3045.15,16.75
74,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-15,3075.0,3096.8,3047.65,3067.1,1242322.0,3071.64,-0.26,-7.9,29.7,27.95,3047.82,28.77
75,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-16,3088.0,3103.55,3066.1,3082.1,764001.0,3084.94,-0.19,-5.9,21.45,15.0,3062.78,33.89
76,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-17,3082.9,3085.0,3037.0,3055.85,674481.0,3065.19,-0.88,-27.05,29.15,-26.25,3068.35,30.1
77,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-18,3057.0,3069.0,2980.6,2992.15,899318.0,3024.69,-2.12,-64.85,76.85,-63.7,3043.37,23.68
78,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-21,3007.05,3057.0,3000.55,3049.2,806970.0,3028.45,1.4,42.15,7.8,57.05,3032.4,35.93
79,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-22,3054.0,3057.95,2995.25,3006.85,541838.0,3028.51,-1.54,-47.15,51.1,-42.35,3016.07,32.1
80,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-23,2999.95,3026.5,2972.05,2989.7,624689.0,2997.05,-0.34,-10.25,36.8,-17.15,3015.25,30.78
81,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-24,2989.7,3002.3,2951.0,2972.0,571259.0,2978.75,-0.59,-17.7,30.3,-17.7,2989.52,35.88
82,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-25,2975.5,3015.55,2952.0,2958.0,1047769.0,2975.26,-0.59,-17.5,57.55,-14.0,2973.23,35.51
83,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-28,2987.9,3021.7,2963.05,3001.85,504961.0,2993.63,0.47,13.95,19.85,43.85,2977.28,38.59
84,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-29,3020.0,3028.0,2941.1,2992.85,613459.0,2995.49,-0.9,-27.15,35.15,-9.0,2984.23,38.61
85,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-30,3006.0,3006.0,2963.55,2996.65,812725.0,2993.05,-0.31,-9.35,9.35,3.8,2997.12,41.37
86,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-10-31,2994.2,2996.5,2919.0,2935.65,1031171.0,2961.34,-1.96,-58.55,60.85,-61.0,2975.05,37.33
87,INE021A01026,Asian Paints Ltd.,Consumer Durables,2024-11-01,2958.0,2965.75,2930.0,2939.85,112249.0,2948.4,-0.61,-18.15,25.9,4.2,2957.38,37.68
88,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-03,1207.5,1219.15,1173.1,1175.7,17300892.0,1193.86,-2.63,-31.8,43.45,,1175.7,
89,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-04,1175.5,1202.8,1174.0,1178.4,13064515.0,1182.68,0.25,2.9,24.4,2.7,1177.05,
90,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-07,1182.95,1184.85,1130.9,1145.7,20047013.0,1161.1,-3.15,-37.25,39.15,-32.7,1166.6,7.63
91,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-08,1153.0,1168.35,1142.5,1153.3,8464570.0,1154.29,0.03,0.3,15.05,7.6,1159.13,23.95
92,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-09,1154.0,1185.0,1154.0,1170.15,9807734.0,1165.79,1.4,16.15,14.85,16.85,1156.38,45.36
93,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-10,1177.0,1191.0,1175.05,1184.25,6806243.0,1181.83,0.62,7.25,6.75,14.1,1169.23,55.78
94,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-11,1182.5,1188.2,1166.0,1172.45,4754158.0,1177.29,-0.85,-10.05,15.75,-11.8,1175.62,48.1
95,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-14,1171.55,1175.0,1156.6,1164.35,9765296.0,1166.88,-0.61,-7.2,10.65,-8.1,1173.68,43.95
96,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-15,1166.1,1172.0,1149.5,1153.85,8741516.0,1160.36,-1.05,-12.25,18.15,-10.5,1163.55,39.53
97,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-16,1151.0,1162.95,1148.1,1153.2,7739854.0,1153.81,0.19,2.2,9.75,-0.65,1157.13,39.29
98,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-17,1151.0,1151.35,1124.0,1131.85,6595231.0,1139.55,-1.66,-19.15,19.5,-21.35,1146.3,32.65
99,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-18,1158.0,1203.85,1156.05,1196.85,20829666.0,1178.69,3.35,38.85,7.0,65.0,1160.63,55.53
100,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-21,1196.85,1214.8,1185.55,1190.3,7456038.0,1196.88,-0.55,-6.55,24.5,-6.55,1173.0,53.69
101,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-22,1194.25,1198.0,1173.35,1175.75,7256246.0,1185.34,-1.55,-18.5,22.25,-14.55,1187.63,50.01
102,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-23,1175.1,1183.15,1158.65,1160.4,6501834.0,1169.33,-1.25,-14.7,22.75,-15.35,1175.48,46.64
103,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-24,1165.0,1175.2,1154.65,1167.35,5046700.0,1165.55,0.2,2.35,7.85,6.95,1167.83,47.62
104,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-25,1187.0,1201.75,1170.0,1189.35,12798716.0,1187.03,0.2,2.35,12.4,22.0,1172.37,59.86
105,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-28,1194.0,1194.0,1167.05,1171.6,8572243.0,1181.66,-1.88,-22.4,22.4,-17.75,1176.1,53.95
106,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-29,1176.4,1191.2,1157.6,1186.85,9908946.0,1178.01,0.89,10.45,4.35,15.25,1182.6,53.63
107,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-30,1178.75,1187.65,1164.3,1170.4,9686560.0,1175.28,-0.71,-8.35,17.25,-16.45,1176.28,47.02
108,INE238A01034,Axis Bank Ltd.,Financial Services,2024-10-31,1165.5,1178.0,1153.85,1159.55,8682294.0,1164.23,-0.51,-5.95,18.45,-10.85,1172.27,47.21
109,INE238A01034,Axis Bank Ltd.,Financial Services,2024-11-01,1164.05,1172.5,1164.0,1169.55,460781.0,1167.53,0.47,5.5,2.95,10.0,1166.5,51.11
